institution,number,family,genus,species,cranium.length,rostrum.length,rostrum.width,rostrum.depth,coracoid,sternum.length,keel.length,keel.depth,humerus,ulna,carpometacarpus,femur,tibiotarsus,tarsometatarsus,island,landbird.spp.richness,island.area,elevation,nearest.continent,isolation,ecosystem.richness,raptor.spp,columbid.spp,kingfisher.spp,mammal.predators,location.1,location.2,location.3,collector,age,mass,wing.ch.,tail,subspecies,sex,other
KU,99398,Alcedinidae,Ceyx,Ceyx_erithaca,19.58,42.02,9.33,6.53,17.35,12.82,16.65,6.29,20.33,25.33,9.29,13.14,21.15,8.46,Palawan,227,12189,2085,950,55,NA,19,13,7,yes,Philippines,Palawan Prov.; Palawan Island,Municipality of Brooke's Point; Barangay Samarinjana; Mantalingajan Range,R.G. Moyle,adult,16.7,NA,NA,NA,male,NA
KU,95840,Alcedinidae,Ceyx,Ceyx_lepidus,18.55,29.51,7.49,4.74,15.6,12.56,15.94,6.51,18.44,24.35,8.64,11.66,19.73,7.94,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Chimbu Prov.,Haia; Tau-Telo camp,B.W. Benz,adult,13,NA,NA,NA,male,NA
KU,97053,Alcedinidae,Ceyx,Ceyx_lepidus,19.06,38.64,7.95,4.97,16.47,12.76,16.44,5.85,18.44,24.12,8.59,11.67,20.04,7.71,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Gulf Prov.,14.1 km 296 degrees from Wabo Airstrip; Sapoa camp,J. Dumbacher,NA,14,NA,NA,NA,female,NA
KU,96190,Alcedinidae,Ceyx,Ceyx_lepidus,18.98,30.58,7.6,5.07,15.82,12.19,15.25,5.93,19.27,24.97,9.11,11.98,20.5,8.28,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Madang Prov.,"116 km 314 degrees from Mandang Airstip, Tikiam Camp",A.L. Mack,NA,14.5,NA,NA,NA,female,NA
KU,114968,Alcedinidae,Ceyx,Ceyx_lepidus,20.31,30.54,8.12,5.56,16.82,12.53,15.63,6.54,20.42,25.32,9.46,13.02,21.72,9.35,Guadalcanal,100,5353,2447,1700,75,30,10,15,7,no,Solomon Islands,Guadalcanal Island,8 km SSE Honiwara,R.G. Moyle,adult,15.5,NA,NA,NA,male,NA
KU,114972,Alcedinidae,Ceyx,Ceyx_lepidus,20.06,30.38,7.92,5.65,16.68,12.56,15.58,6.72,20.08,25.45,9.45,12.71,24.65,9.09,Guadalcanal,100,5353,2447,1700,75,30,10,15,7,no,Solomon Islands,Guadalcanal Island,8 km SSE Honiwara,R.G. Moyle,adult,17,NA,NA,NA,male,NA
KU,99370,Alcedinidae,Ceyx,Ceyx_lepidus,21.83,40.89,9.09,6.42,18.32,12.69,16.67,6.84,22.37,28.26,10.74,14.68,25.96,11.02,Makira,75,3191,1250,1750,75,20,7,14,4,no,Solomon Islands,Markira Island,"9 km S Kira Kira, Nara Village",R.G. Moyle,adult,22,NA,NA,NA,male,NA
KU,113343,Alcedinidae,Ceyx,Ceyx_melanurus,20.17,30.35,9.07,6.01,16.26,12.21,15.25,5.89,19.2,25.28,9.34,12.72,21.84,9.19,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Prov. Camarines Norte,Luzon Island,C.H. Oliveras,NA,16,NA,NA,NA,female,NA
KU,113075,Alcedinidae,Ceyx,Ceyx_melanurus,20.6,33.85,9.51,6.89,17.68,12.89,16.25,6.5,20.65,26.96,10.02,13.79,23.5,9.78,Mindanao,310,97530,2954,1500,62,NA,30,20,10,yes,Philippines,Mindanao Island,"Barangay Pasanonca; Sitio Canucutan, Zamboanga City",C.H. Oliveras,NA,16.5,NA,NA,NA,female,NA
NMNH,292418,Alcedinidae,Halcyon,Halcyon_badia,27.84,39.25,15.37,8.62,25.46,18.3,24.26,10.78,32.47,41.88,17.5,19.99,30.36,13.65,continent,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,Cameroon,Efulan,NA,J.A. Reis,NA,NA,NA,NA,NA,male,NA
