institution,number,family,genus,species,cranium.length,rostrum.length,rostrum.width,rostrum.depth,coracoid,sternum.length,keel.length,keel.depth,humerus,ulna,carpometacarpus,femur,tibiotarsus,tarsometatarsus,island,landbird.spp.richness,island.area,elevation,nearest.continent,isolation,ecosystem.richness,raptor.spp,columbid.spp,kingfisher.spp,mammal.predators,location.1,location.2,location.3,collector,age,mass,wing.ch.,tail,subspecies,sex,other
NMNH,605576,Columbidae,Ptilinopus,Ptilinopus_insularis,NA,NA,NA,NA,25.38,31.71,28.92,11.11,33.19,NA,22.25,32.67,48.38,28.28,Henderson,5,37,33,4500,106,2,0,1,0,no,Pitcairn Islands,Henderson Island,West Beach,G.R. Graves,adult,105,NA,NA,NA,male,NA
AMNH,1348,Columbidae,Ptilinopus,Ptilinopus_iozonus,26.87,15.94,6.49,3.75,25.42,39.46,43.32,17.18,29.49,34.02,19.9,29.79,NA,20.55,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,New Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NMNH,560662,Columbidae,Ptilinopus,Ptilinopus_leclancheri,32.12,20.52,7.23,4.88,32.08,49.44,53.7,22.23,39.46,45.63,25.99,34.24,44.17,23.43,Batan,24,95,NA,NA,NA,NA,1,5,1,yes,Philippines,Batan Island,Batanes Prov.; Nacamaya Sitio,R.S. Kennedy,NA,200,NA,NA,longialis,female,NA
NMNH,560663,Columbidae,Ptilinopus,Ptilinopus_leclancheri,NA,NA,NA,NA,32,NA,NA,NA,39.57,47.62,26.19,34.75,45.26,23.54,Batan,24,95,NA,NA,NA,NA,1,5,1,yes,Philippines,Batan Island,Batanes Prov.; Basco,R.S. Kennedy,NA,NA,NA,NA,longialis,female,NA
NMNH,560667,Columbidae,Ptilinopus,Ptilinopus_leclancheri,NA,NA,NA,NA,NA,45.82,46.43,19.07,39.92,46.91,26.21,34.3,45.3,23.33,Batan,24,95,NA,NA,NA,NA,1,5,1,yes,Philippines,Batan Island,Batanes Prov.; Nacamaya Sitio,R.S. Kennedy,juvenile,174,NA,NA,longialis,male,NA
NMNH,560665,Columbidae,Ptilinopus,Ptilinopus_leclancheri,32.97,21.65,7.71,5.41,34.35,49.19,51.41,20.25,41.08,48.15,26.84,35.57,47.2,24.22,Batan,24,95,NA,NA,NA,NA,1,5,1,yes,Philippines,Batan Island,Batanes Prov.; Basco,C.A. Ross,NA,210,NA,NA,longialis,male,NA
NMNH,582819,Columbidae,Ptilinopus,Ptilinopus_leclancheri,NA,NA,NA,NA,36.07,52.65,56.66,22.54,NA,NA,NA,37.21,NA,NA,Batan,24,95,NA,NA,NA,NA,1,5,1,yes,Philippines,Batan Island,Batanes Prov.; Basco,R.S. Kennedy,NA,217,NA,NA,longialis,male,NA
NMNH,560661,Columbidae,Ptilinopus,Ptilinopus_leclancheri,32.16,22.91,7.46,5.1,35.2,50.37,56.3,22.84,42.31,49.01,27.67,35.33,47.82,24.66,Batan,24,95,NA,NA,NA,NA,1,5,1,yes,Philippines,Batan Island,Batanes Prov.; Nacamaya Sitio,R.S. Kennedy,NA,218,NA,NA,longialis,male,NA
NMNH,432106,Columbidae,Ptilinopus,Ptilinopus_leclancheri,30.34,18.52,7.14,4.12,28.97,44.98,50.41,19.88,34.39,39.4,22.79,30.64,40.96,20.41,Culion,67,389,NA,NA,NA,NA,5,6,4,yes,Philippines,Culion,NA,M. C. Thompson,NA,NA,NA,NA,NA,male,NA
NMNH,635225,Columbidae,Ptilinopus,Ptilinopus_leclancheri,NA,NA,NA,NA,30.66,46.95,51.15,19.41,NA,NA,NA,33.68,NA,NA,Fuga,45,100,NA,NA,NA,NA,6,3,1,yes,Philippines,Babuyan Islands: Cagayan,Fuga Island; Naguilian Barrio,C.A. Ross,NA,180,NA,NA,NA,female,NA
NMNH,562010,Columbidae,Ptilinopus,Ptilinopus_leclancheri,29.05,17.99,6.33,4.23,28.14,42.91,46.91,17.67,33.32,39.24,22.25,29.73,38.96,20.73,Palawan,227,12189,2085,950,55,NA,19,13,7,yes,Philippines,Palawan,Quezon Mun.; Putting Bato,C.A. Ross,NA,140,NA,NA,gironieri,female,NA
KU,113090,Columbidae,Ptilinopus,Ptilinopus_leclancheri,31.74,23.58,8.16,5.37,33.45,51.36,54.21,23.5,40.74,47.37,25.93,35.21,47.1,24.07,Sabtang,24,40,NA,NA,NA,NA,1,5,1,yes,Philippines,Batanes Prov.,Sabtang Island; Barangay chavayan,C.H. Olivenor,adult,210,NA,NA,NA,female,NA
NMNH,560664,Columbidae,Ptilinopus,Ptilinopus_leclancheri,30.49,21.16,6.99,5.02,32.81,46.19,50.96,21.13,38.92,46.58,26.18,33.7,44.97,23.71,Sabtang,24,40,NA,NA,NA,NA,1,5,1,yes,Philippines,Sabtang Island,Batanes Prov.; Chaubian Sitio,R.S. Kennedy,NA,195,NA,NA,longialis,female,NA
KU,85197,Columbidae,Ptilinopus,Ptilinopus_magnificus,37.42,31.54,11.04,7.02,43.16,57.93,61.7,24.69,53.87,64.03,34.89,45.93,58.31,29.91,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,Kempsey,M.C. Thompson,NA,400,NA,NA,NA,female,NA
KU,98775,Columbidae,Ptilinopus,Ptilinopus_magnificus,35.26,32.09,9.64,6.22,40.44,53.59,53.39,22.54,47.15,56.96,31.32,41.44,54.6,27.22,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,Bangalow,M.C. Thompson,adult,NA,NA,NA,NA,female,NA
KU,85369,Columbidae,Ptilinopus,Ptilinopus_magnificus,34.52,28.17,8.31,5.85,38.57,53.43,56.23,21.62,47.1,57.21,30.68,40.41,52.79,26.48,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,Queensland,NA,M.C. Thompson,adult,315,NA,NA,NA,female,NA
KU,85370,Columbidae,Ptilinopus,Ptilinopus_magnificus,35.52,24.39,8.93,6.11,36.84,52.42,54.6,21.27,46.6,56.22,29.86,40.04,52.44,27.18,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,Queensland,NA,M.C. Thompson,adult,NA,NA,NA,NA,female,NA
NMNH,620200,Columbidae,Ptilinopus,Ptilinopus_magnificus,40.22,32.84,9.69,7.11,43.76,57.42,58.7,23.58,54.18,64.59,34.47,46.97,61.32,30,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,Queensland,"N. Tamborine Mt., North Street",L. Jones,adult,505,NA,NA,NA,female,NA
NMNH,620201,Columbidae,Ptilinopus,Ptilinopus_magnificus,35.39,29.21,8.39,6.12,40.12,52.89,51.68,20.89,48.18,58.2,31.2,42.58,55.36,28.26,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,Queensland or New South Whales,NA,NA,NA,363,NA,NA,NA,male,NA
Burke,76629,Columbidae,Ptilinopus,Ptilinopus_magnificus,36.7,31.6,10.63,6.16,42.07,55.28,54.52,23.92,51.28,61.4,34.69,44.63,58.59,28.93,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,NA,NA,NA,360,NA,NA,NA,female,posterior keel degraded (may affect measurements)
Burke,72559,Columbidae,Ptilinopus,Ptilinopus_magnificus,NA,NA,NA,NA,43.46,60.49,64.91,25.19,53.75,64.75,36.01,46.22,59.66,31.22,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,Queensland,NA,NA,adult,505,NA,NA,NA,female,NA
AMNH,7734,Columbidae,Ptilinopus,Ptilinopus_magnificus,31.55,21.48,7.19,4.76,31.95,46.55,NA,NA,39.29,NA,NA,33.74,43.48,22.46,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,New Guinea,Torrieelli Mt.,Mt. Utai,J.M. Diamond,NA,204,NA,NA,NA,NA,NA
KU,96984,Columbidae,Ptilinopus,Ptilinopus_magnificus,31.43,23.09,7.6,5.64,31.53,42.13,45.16,18.16,38.05,46.5,24.25,32.81,42.55,21.68,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Oro Prov.,"17.7 km 315 SW from Viaku Village, Collingwood Bay",BWB637,bursa 5x3,136.5,NA,NA,NA,female,NA
FLMNH,41512,Columbidae,Ptilinopus,Ptilinopus_magnificus,28.79,22.89,7.49,4.4,30.06,44.38,49.53,19.18,38.2,46.44,23.91,32.3,41.41,20.94,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Western Prov.,Elevala River; Ikamea Reserve,J.K. Sailer,adult,171,164,134,interposita,female,NA
FLMNH,41514,Columbidae,Ptilinopus,Ptilinopus_magnificus,31.75,24.18,9.01,5.43,32.79,47.98,50.77,20.12,41.44,50.63,26.02,34.79,45.36,23.42,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Western Prov.,Elevala River; Ikamea Reserve,J.K. Sailer,adult,204,170,138,interposita,male,NA
FLMNH,41430,Columbidae,Ptilinopus,Ptilinopus_magnificus,NA,21.83,8.05,5.08,32.85,46.84,49.05,19.66,NA,NA,25.15,33.77,NA,22.12,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Western Prov.,Elevala River; Ikamea Reserve,A.W. Kratter,NA,176,176,145,interposita,male,NA
FLMNH,41435,Columbidae,Ptilinopus,Ptilinopus_magnificus,NA,NA,NA,NA,34.14,48.33,52.11,19.3,40.54,49.42,NA,34.51,NA,NA,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Western Prov.,Elevala River; Ikamea Reserve,A.W. Kratter,adult,212,167,150,interposita,male,NA
FLMNH,41428,Columbidae,Ptilinopus,Ptilinopus_magnificus,NA,NA,NA,NA,31.79,47.01,50.71,20.57,38.75,47.16,NA,33.17,44.57,22.05,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Western Prov.,Elevala River; Ikamea Reserve,A.W. Kratter,adult,196,170,153,interposita,male,NA
NMNH,226177,Columbidae,Ptilinopus,Ptilinopus_melanospilus,28.98,18.4,5.63,3.94,26.68,41.4,44.92,19.5,30.56,35.53,19.24,31.07,40.97,20.79,Sulawesi,384,180681,3455,1100,56,NA,39,25,12,yes,Indonesia,Celebes,Gimpoe,H.C. Raven,NA,NA,NA,NA,NA,male,NA
NMNH,557103,Columbidae,Ptilinopus,Ptilinopus_monacha,22.15,13.97,5.44,3.16,19.07,29.38,29.76,12.84,22.88,27.89,15.44,22.49,30.11,16.77,Halmahera,171,18040,1635,1350,58,NA,21,19,10,yes,Indonesia,"Moluccas, Halmahera Island","Jailolo District, Kampung Pasir Putih",P.M. Taylor,NA,NA,NA,NA,NA,female,NA
NMNH,557104,Columbidae,Ptilinopus,Ptilinopus_monacha,22.8,13.65,4.87,3.13,18.68,30.93,32.6,13.03,22.88,27.51,15.41,22.48,29.62,16.84,Halmahera,171,18040,1635,1350,58,NA,21,19,10,yes,Indonesia,"Moluccas, Halmahera Island","Jailolo District, Kampung Pasir Putih",P.M. Taylor,NA,NA,NA,NA,NA,female,NA
NMNH,557100,Columbidae,Ptilinopus,Ptilinopus_monacha,22.47,14.09,5.39,3.12,19.57,NA,NA,NA,23.42,28.85,15.24,23.28,30.74,17.44,Halmahera,171,18040,1635,1350,58,NA,21,19,10,yes,Indonesia,"Moluccas, Halmahera Island","Jailolo District, Kampung Pasir Putih",P.M. Taylor,NA,NA,NA,NA,NA,female,NA
NMNH,557101,Columbidae,Ptilinopus,Ptilinopus_monacha,24.16,14.01,5.3,3.46,20.43,30.49,32.13,13.69,24.4,29.82,16.35,23.48,30.89,17.49,Halmahera,171,18040,1635,1350,58,NA,21,19,10,yes,Indonesia,"Moluccas, Halmahera Island","Jailolo District, Kampung Pasir Putih",P.M. Taylor,NA,NA,NA,NA,NA,female,NA
NMNH,557105,Columbidae,Ptilinopus,Ptilinopus_monacha,23.16,14.38,5.09,3.03,20.77,31.79,33.73,13.96,24.63,29.7,16.18,23.97,32.36,17.72,Halmahera,171,18040,1635,1350,58,NA,21,19,10,yes,Indonesia,"Moluccas, Halmahera Island","Jailolo District, Kampung Pasir Putih",P.M. Taylor,NA,NA,NA,NA,NA,female,NA
NMNH,557098,Columbidae,Ptilinopus,Ptilinopus_monacha,23.41,14.72,5.23,2.86,20.22,NA,NA,13.52,24.11,28.8,16.06,23.41,30.28,17.63,Halmahera,171,18040,1635,1350,58,NA,21,19,10,yes,Indonesia,"Moluccas, Halmahera Island","Jailolo District, Kampung Pasir Putih",P.M. Taylor,NA,NA,NA,NA,NA,male,NA
NMNH,557094,Columbidae,Ptilinopus,Ptilinopus_monacha,23.62,13.35,5.43,3.31,20.45,31.18,32.43,13.71,23.9,28.86,16,23.38,32.23,17.67,Halmahera,171,18040,1635,1350,58,NA,21,19,10,yes,Indonesia,"Moluccas, Halmahera Island","Jailolo District, Kampung Pasir Putih",P.M. Taylor,NA,NA,NA,NA,NA,male,NA
NMNH,557096,Columbidae,Ptilinopus,Ptilinopus_monacha,22.59,12.48,5.36,2.96,19.84,NA,NA,13.59,23.9,28.64,15.9,23.77,NA,17.73,Halmahera,171,18040,1635,1350,58,NA,21,19,10,yes,Indonesia,"Moluccas, Halmahera Island","Jailolo District, Kampung Pasir Putih",P.M. Taylor,NA,NA,NA,NA,NA,male,NA
NMNH,557097,Columbidae,Ptilinopus,Ptilinopus_monacha,23.76,13.97,5.13,3.53,20.43,30.76,32.15,13.47,24.3,29.52,16.54,23.14,31.72,17.85,Halmahera,171,18040,1635,1350,58,NA,21,19,10,yes,Indonesia,"Moluccas, Halmahera Island","Jailolo District, Kampung Pasir Putih",P.M. Taylor,NA,NA,NA,NA,NA,male,NA
NMNH,562897,Columbidae,Ptilinopus,Ptilinopus_occipitalis,31.89,21.01,7.62,5.4,32.38,49.49,54.23,21.7,NA,43.78,23.76,36.15,47.3,24.47,Biliran,111,555,1340,NA,NA,NA,12,11,4,yes,Philippines,Biliran Island,Caibiran Municipality; Pulang,R.S. Kennedy,adult,249,NA,NA,NA,female,NA
NMNH,562871,Columbidae,Ptilinopus,Ptilinopus_occipitalis,32.57,21.41,7.3,5.26,32.35,48.98,50.93,21.56,38.62,44.86,24.16,35.33,47.15,24.36,Leyte,182,7368,1349,1500,44,NA,19,14,7,yes,Philippines,Leyte Island,Baybay,P.D. Heideman,juvenile,177,NA,NA,NA,female,NA
NMNH,607287,Columbidae,Ptilinopus,Ptilinopus_occipitalis,NA,NA,NA,NA,34.25,50.35,52.25,22.97,40.76,NA,NA,37.62,NA,NA,Luzon,336,109965,2934,600,48,NA,27,20,8,yes,Philippines,Luzon,"Cagayan Prov.: Barrio Via, Sitio Hot Springs","R.W. Dickerman, C.A. Ross",NA,232,NA,NA,NA,male,NA
NMNH,488905,Columbidae,Ptilinopus,Ptilinopus_occipitalis,31.82,NA,7.02,4.95,32.92,48.32,50.9,22.26,38.05,43.81,23.88,35.68,46.41,23.94,Mindanao,310,97530,2954,1500,62,NA,30,20,10,yes,Philippines,Mindanao Is.,"Kablon, Mt. Matutum, Tupi, Cotabato",D.S. Rabor,NA,NA,NA,NA,NA,female,NA
NMNH,488907,Columbidae,Ptilinopus,Ptilinopus_occipitalis,32.4,20.79,7.15,4.85,31.2,48.45,51.67,20.48,36.12,41.51,23.76,33.29,43.69,22.96,Negros,248,13075,2464,1450,47,NA,21,18,9,yes,Philippines,Negros Island,"Negros Oriental, Siaton",D.S. Rabor,NA,NA,NA,NA,NA,female,NA
NMNH,562874,Columbidae,Ptilinopus,Ptilinopus_occipitalis,32.72,23.25,7.79,5.15,33.12,46.44,49.76,21.97,40.22,45.83,25.5,36.71,47.49,25.5,Negros,248,13075,2464,1450,47,NA,21,18,9,yes,Philippines,Negros Island,"Negros oriental, Sibulan, Dumaguete City",P.D. Heideman,adult,210,NA,NA,NA,male,NA
NMNH,489042,Columbidae,Ptilinopus,Ptilinopus_ornatus,31.61,20.54,8.15,4.5,30.26,47.42,48.13,20.62,36.45,NA,NA,33.93,43.68,22.45,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Eastern Highlands Prov.,Karimui,J.M. Diamond,NA,148.5,NA,NA,kaporensis,male,NA
KU,114825,Columbidae,Ptilinopus,Ptilinopus_ornatus,31.47,19.6,7.97,4.91,29.74,44.91,48.26,20.52,35.12,42.28,24.59,34.07,43.37,23.12,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Madang,"Adelbert Mountains, Meskor Bush Camp",BWB1327,adult,148,NA,NA,NA,female,NA
KU,116892,Columbidae,Ptilinopus,Ptilinopus_pelewensis,NA,17.99,6.5,4.26,22.5,29.67,26.75,10.52,NA,37.12,21.02,28.94,NA,23.16,Beleliou,28,13,30,2500,84,4,1,4,2,no,Palau,Peleliu Island,NA,RGM1343,NA,NA,NA,NA,NA,NA,NA
NMNH,489044,Columbidae,Ptilinopus,Ptilinopus_perlatus,NA,24.99,8.66,5.18,33.69,52.24,59.04,23.15,39.75,46.38,25.75,39.54,50,25.77,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Eastern Highlands Prov.,Karimui,J.M. Diamond,NA,NA,NA,NA,NA,male,NA
FLMNH,41486,Columbidae,Ptilinopus,Ptilinopus_perlatus,NA,NA,NA,NA,32.16,NA,NA,NA,37.93,44.99,NA,36.91,46.68,24.33,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Western Prov.,Elevala River; Ikamea Reserve,A.W. Kratter,juvenile,156,144,81,zonurus,male,NA
FLMNH,41525,Columbidae,Ptilinopus,Ptilinopus_perlatus,33.49,23.2,8.85,5.6,34.07,56.05,60.06,23.7,38.78,44.15,24.87,37.56,47.63,25.33,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Western Prov.,Elevala River; Ikamea Reserve,J.K. Sailer,NA,228,155,82,zonurus,male,NA
FLMNH,41474,Columbidae,Ptilinopus,Ptilinopus_perlatus,34.43,24.05,10.37,5.68,33.67,52.84,57.42,22.79,40.11,46.84,25.93,38.35,50.12,26.7,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Western Prov.,Elevala River; Ikamea Reserve,A.W. Kratter,adult,154,157,85,zonurus,male,NA
FLMNH,41470,Columbidae,Ptilinopus,Ptilinopus_perlatus,NA,NA,NA,NA,35.2,56.68,63.26,23.72,39.72,45.9,26.7,38.76,NA,26.88,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Western Prov.,Elevala River; Ikamea Reserve,A.W. Kratter,adult,178,160,89,zonurus,male,NA
FLMNH,41437,Columbidae,Ptilinopus,Ptilinopus_perlatus,NA,NA,NA,NA,36.35,54.97,58.57,23.49,40.55,47.72,27.74,39.65,50.82,26.71,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Western Prov.,Elevala River; Ikamea Reserve,A.W. Kratter,adult,292,162,80,zonurus,male,weight suspect; 192?
NMNH,431406,Columbidae,Ptilinopus,Ptilinopus_porphyraceus,25.35,19.53,6.67,3.88,24.21,30.02,27.65,11.27,31.87,37.31,20.91,30.6,43.17,24.1,Pohnpei,20,334,791,4500,108,20,1,3,1,no,Micronesia,PonapeI.,"Nanpohnmall, old airfield",J.T. Marshall,NA,119,NA,NA,NA,male,NA
AMNH,8003,Columbidae,Ptilinopus,Ptilinopus_porphyraceus,26.22,16.99,5.85,NA,25.81,34.24,31.46,14.17,31.75,36.91,21.16,30.67,41.47,23.28,Savaii,31,1718,1858,3800,87,15,2,6,1,no,West Samoa,Savaii Island,Safuni; 2200 ft elev.,R.S.C.,adult,123,NA,NA,fasciatus,male,NA
NMNH,614951,Columbidae,Ptilinopus,Ptilinopus_pulchellus,24.19,15.78,4.75,3.57,21.66,33.64,34.76,14.4,26.16,32.97,17.49,25.32,34.5,19.31,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Madang,Naru,San Diego Zoo,NA,NA,113,68,NA,female,NA
KU,96987,Columbidae,Ptilinopus,Ptilinopus_pulchellus,24.35,16.01,6.07,3.65,23.11,34.46,36.75,15.47,26.57,32.72,17.73,26.07,35.08,19.55,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Oro Prov.,"17.7 km 315 SW from Viaku Village, Collingwood Bay",SEA324,adult,70,NA,NA,NA,male,NA
KU,96216,Columbidae,Ptilinopus,Ptilinopus_pulchellus,25.4,16.16,6.3,3.89,23.59,35.83,38,15.23,27.08,32.63,18.14,25.87,33.69,19.55,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Oro Prov.,"17.7 km 315 SW from Viaku Village, Collingwood Bay",SEA315,adult,NA,NA,NA,NA,male,NA
KU,97004,Columbidae,Ptilinopus,Ptilinopus_pulchellus,23.4,16.64,5.76,3.4,21.32,33.37,34.65,14.2,25.64,31.73,17.05,24.52,33.12,18.27,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Wabo Village,NA,SEA291,adult,60,NA,NA,NA,female,NA
KU,97008,Columbidae,Ptilinopus,Ptilinopus_pulchellus,24.69,14.56,5.88,3.56,22.52,34.83,35.86,14.22,26.23,32.34,17.29,26.09,34.54,19.45,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,Papua New Guinea,Wabo Village,NA,SEA301,adult,65,NA,NA,NA,male,NA
AMNH,1214,Columbidae,Ptilinopus,Ptilinopus_purpuratus,23.31,17.9,NA,NA,22.02,26.93,25.52,10.29,NA,36.34,20.48,29.35,43.37,24.53,Maturei-Vavao,8,2.5,NA,5300,109,1,0,2,1,no,Tuamotu Archipelago,Maturei-Vavao,NA,R.H. Beck,NA,NA,NA,NA,coralensis,female,NA
NMNH,318783,Columbidae,Ptilinopus,Ptilinopus_purpuratus,22.86,17.92,6.24,3.96,21.97,28.14,25.39,10.38,30.71,35.9,19.89,29.13,41.61,24.26,Toau,8,20,NA,6200,100,1,0,2,1,no,Tuamotu Archipelago,Toau Atoll,Toau,A.K. Fisher,NA,NA,NA,NA,NA,female,NA
KU,85199,Columbidae,Ptilinopus,Ptilinopus_regina,24.36,16.39,6.45,4.01,24.19,37.67,39.81,15.9,29.09,34.76,20.4,26.81,35.98,19.69,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,"McLean's Ridge, Lismore",M.C. Thompson,NA,105,NA,NA,NA,female,NA
KU,88084,Columbidae,Ptilinopus,Ptilinopus_regina,26.21,17.35,6.65,3.9,27.32,40.21,42.82,18.54,NA,37.14,21.6,29.77,38.45,21.53,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,Fernleigh,MCT6546,NA,98,NA,NA,NA,male,NA
KU,85198,Columbidae,Ptilinopus,Ptilinopus_regina,26.83,18.2,6.43,4.3,25.76,38.83,42.11,17.53,31.73,37.22,22.13,29.16,38.09,21.99,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,Coorabell,M.C. Thompson,NA,NA,NA,NA,NA,male,NA
NMNH,620202,Columbidae,Ptilinopus,Ptilinopus_regina,24.09,15.92,5.89,3.67,24.27,37.39,39.38,16.3,29.24,34.17,20.21,27.05,34.78,19.65,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,NA,D. Davidson,NA,89.9,NA,NA,NA,female,NA
KU,83294,Columbidae,Ptilinopus,Ptilinopus_regina,26.6,16.32,6.88,4.62,25.17,39.55,40.53,16.98,30.15,35.33,20.89,28.1,36.33,20.36,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,Queensland,Kallangur,M.C. Thompson,NA,NA,NA,NA,NA,male,NA
NMNH,612675,Columbidae,Ptilinopus,Ptilinopus_regina,26.93,16.44,6.69,3.99,24.93,37.29,39.37,15.58,30.09,36.04,21.11,27.65,36.97,20.49,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,Queensland,Maleny,F. Woolston,adult,NA,124,71,NA,female,NA
NMNH,620203,Columbidae,Ptilinopus,Ptilinopus_regina,25.47,18.44,5.21,3.48,27.01,NA,NA,NA,31.08,37.26,21.9,29.39,38.43,20.55,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,Queensland,Cairns,NA,juvenile,66.5,NA,NA,NA,male,NA
NMNH,620205,Columbidae,Ptilinopus,Ptilinopus_regina,26.22,17.28,6.49,4.17,26.27,41.04,44.11,16.86,30.45,36.28,21.36,29.13,37.85,20.8,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,Queensland,NA,NA,NA,85,NA,NA,NA,male,NA
NMNH,620204,Columbidae,Ptilinopus,Ptilinopus_regina,27.57,17.05,6.91,4.49,26.72,41.31,41.61,17.15,31.96,37.62,22.13,28.85,38.65,21.9,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,Queensland,Noosa Heads,NA,NA,102,NA,NA,NA,male,NA
Burke,62976,Columbidae,Ptilinopus,Ptilinopus_regina,NA,NA,NA,NA,25.66,39.98,40.44,16.68,30.95,35.84,21.18,28.04,36.56,19.83,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,NA,NA,juvenile,78,126,NA,NA,male,keel tip broken - may affect measurements
Burke,62961,Columbidae,Ptilinopus,Ptilinopus_regina,26.47,16.63,6.19,3.47,24.67,37.78,40.05,15.79,29.83,34.86,20.99,27.36,35.37,20.02,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,NA,NA,NA,98.2,129,NA,NA,female,NA
Burke,62874,Columbidae,Ptilinopus,Ptilinopus_regina,26.55,17.23,7.8,4.45,25.85,40.42,43.41,17.48,30.44,36.62,20.67,28.66,37.82,20.26,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,NA,NA,adult,134.7,133,NA,NA,female,NA
Burke,62962,Columbidae,Ptilinopus,Ptilinopus_regina,NA,NA,NA,NA,26.59,39.39,41.66,17.22,31.06,36.03,21.91,29.11,38.44,21.6,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,NA,NA,adult,102.5,129,NA,NA,male,NA
Burke,62977,Columbidae,Ptilinopus,Ptilinopus_regina,26.64,17.06,7.19,4.32,25.7,39.59,42.29,16.82,31.21,37.19,21.79,29.27,38.54,21.11,continent,614,7617930,NA,NA,NA,NA,NA,NA,NA,yes,Australia,New South Wales,NA,NA,adult,96,132,NA,NA,male,NA
AMNH,23375,Columbidae,Ptilinopus,Ptilinopus_richardsii,26.98,19,6.78,4.15,24.21,36.04,33.56,13.7,31.71,38.03,21.11,31.02,41.1,23.03,Rennell_Island,36,660,154,1550,79,5,3,5,1,no,Solomon Islands,Rennell Island,TeNggano: Taha Matangi,M. LeCroy,NA,127,128,71.5,NA,female,NA
AMNH,7768,Columbidae,Ptilinopus,Ptilinopus_rivoli,28.38,19.95,7.41,3.94,27.37,39.23,41.16,17.36,NA,37.17,20.31,30.29,39.98,21.12,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,New Guinea,Torricelli Mt.,Mt. Menawa,J.M. Diamond,NA,122,NA,NA,NA,female,NA
AMNH,7711,Columbidae,Ptilinopus,Ptilinopus_rivoli,28.85,20.02,NA,NA,28.06,40.1,NA,NA,32.47,38.02,21.09,31.58,41.61,21.96,New_Guinea,627,785753,5030,155,37,40,40,40,22,yes,New Guinea,Torricelli Mt.,Mt. Menawa,J.M. Diamond,NA,145,NA,NA,NA,female,NA
